interval_begin,interval_end,interval_flow,interval_harmonicMeanSpeed,interval_id,interval_length,interval_nVehContrib,interval_nVehEntered,interval_occupancy,interval_speed
0.00,60.00,0.00,-1.00,d_rp1_entry_1,-1.00,0,0,0.00,-1.00
0.00,60.00,240.00,8.83,d_rp1_entry_2,5.00,4,4,3.78,8.86
0.00,60.00,0.00,-1.00,d_rp1_entry_3,-1.00,0,0,0.00,-1.00
0.00,60.00,0.00,-1.00,d_rp1_entry_4,-1.00,0,0,0.00,-1.00
0.00,60.00,0.00,-1.00,d_rp1_entry_5,-1.00,0,0,0.00,-1.00
0.00,60.00,180.00,2.97,d_rp1_entry_6,5.00,3,3,8.42,5.54
0.00,60.00,120.00,3.45,d_rp1_entry_7,5.00,2,2,4.83,5.30
60.00,120.00,0.00,-1.00,d_rp1_entry_1,-1.00,0,0,0.00,-1.00
60.00,120.00,840.00,7.95,d_rp1_entry_2,5.00,14,15,15.02,8.00
60.00,120.00,0.00,-1.00,d_rp1_entry_3,-1.00,0,0,0.00,-1.00
60.00,120.00,300.00,0.87,d_rp1_entry_4,5.00,5,5,48.13,6.12
60.00,120.00,60.00,2.29,d_rp1_entry_5,5.00,1,2,3.95,2.29
60.00,120.00,600.00,3.21,d_rp1_entry_6,5.00,10,10,25.97,5.82
60.00,120.00,420.00,5.29,d_rp1_entry_7,5.00,7,7,11.03,6.54
120.00,180.00,60.00,7.83,d_rp1_entry_1,5.00,1,1,1.06,7.83
120.00,180.00,660.00,6.83,d_rp1_entry_2,5.00,11,10,13.07,7.42
120.00,180.00,0.00,-1.00,d_rp1_entry_3,-1.00,0,0,0.00,-1.00
120.00,180.00,240.00,1.56,d_rp1_entry_4,5.00,4,5,22.05,4.60
120.00,180.00,120.00,9.19,d_rp1_entry_5,5.00,2,3,1.98,9.24
120.00,180.00,240.00,7.45,d_rp1_entry_6,5.00,4,5,5.39,7.47
120.00,180.00,540.00,4.28,d_rp1_entry_7,5.00,9,9,17.51,5.88
180.00,240.00,120.00,5.14,d_rp1_entry_1,5.00,2,2,3.24,5.80
180.00,240.00,900.00,7.96,d_rp1_entry_2,5.00,15,16,16.54,8.02
180.00,240.00,0.00,-1.00,d_rp1_entry_3,-1.00,0,0,0.00,-1.00
180.00,240.00,360.00,5.41,d_rp1_entry_4,5.00,6,5,8.54,7.74
180.00,240.00,360.00,8.43,d_rp1_entry_5,5.00,6,6,5.93,8.71
180.00,240.00,240.00,3.44,d_rp1_entry_6,5.00,4,3,8.76,5.49
180.00,240.00,360.00,3.20,d_rp1_entry_7,5.00,6,7,56.35,5.49
240.00,300.00,60.00,0.14,d_rp1_entry_1,5.00,1,2,84.82,0.14
240.00,300.00,1140.00,6.36,d_rp1_entry_2,5.00,19,18,24.06,7.29
240.00,300.00,0.00,-1.00,d_rp1_entry_3,-1.00,0,0,0.00,-1.00
240.00,300.00,360.00,1.37,d_rp1_entry_4,5.00,6,6,36.41,6.84
240.00,300.00,360.00,4.28,d_rp1_entry_5,5.00,6,6,11.68,6.09
240.00,300.00,600.00,3.46,d_rp1_entry_6,5.00,10,10,24.10,5.83
240.00,300.00,600.00,1.50,d_rp1_entry_7,5.00,10,10,20.73,6.21
300.00,360.00,240.00,0.55,d_rp1_entry_1,5.00,4,4,48.29,2.39
300.00,360.00,1020.00,8.16,d_rp1_entry_2,5.00,17,17,17.35,8.24
300.00,360.00,0.00,-1.00,d_rp1_entry_3,-1.00,0,0,0.00,-1.00
300.00,360.00,180.00,2.10,d_rp1_entry_4,5.00,3,3,11.89,4.78
300.00,360.00,180.00,7.33,d_rp1_entry_5,5.00,3,3,3.41,8.22
300.00,360.00,420.00,5.01,d_rp1_entry_6,5.00,7,7,11.65,6.49
300.00,360.00,780.00,3.06,d_rp1_entry_7,5.16,13,12,36.73,5.84
360.00,420.00,120.00,0.30,d_rp1_entry_1,5.00,2,1,43.99,4.60
360.00,420.00,1200.00,7.92,d_rp1_entry_2,5.00,20,20,21.03,8.02
360.00,420.00,0.00,-1.00,d_rp1_entry_3,-1.00,0,0,0.00,-1.00
360.00,420.00,180.00,0.71,d_rp1_entry_4,5.00,3,3,35.32,2.56
360.00,420.00,240.00,5.64,d_rp1_entry_5,5.00,4,4,5.91,7.86
360.00,420.00,180.00,7.53,d_rp1_entry_6,5.00,3,3,3.32,7.56
360.00,420.00,540.00,3.93,d_rp1_entry_7,5.00,9,10,28.05,5.42
420.00,480.00,120.00,2.17,d_rp1_entry_1,5.00,2,2,7.67,3.51
420.00,480.00,780.00,7.95,d_rp1_entry_2,5.00,13,13,13.62,8.04
420.00,480.00,0.00,-1.00,d_rp1_entry_3,-1.00,0,0,0.00,-1.00
420.00,480.00,240.00,2.26,d_rp1_entry_4,5.00,4,4,14.73,4.01
420.00,480.00,480.00,5.48,d_rp1_entry_5,5.00,8,8,12.16,8.06
420.00,480.00,240.00,7.69,d_rp1_entry_6,5.00,4,4,4.33,7.76
420.00,480.00,660.00,1.92,d_rp1_entry_7,5.38,11,10,54.18,5.76
480.00,540.00,240.00,4.32,d_rp1_entry_1,5.00,4,4,7.72,5.42
480.00,540.00,1080.00,7.14,d_rp1_entry_2,5.00,18,18,21.01,7.34
480.00,540.00,0.00,-1.00,d_rp1_entry_3,-1.00,0,0,0.00,-1.00
480.00,540.00,120.00,0.22,d_rp1_entry_4,5.00,2,2,75.02,0.25
480.00,540.00,300.00,8.99,d_rp1_entry_5,5.00,5,5,4.63,9.13
480.00,540.00,180.00,7.78,d_rp1_entry_6,5.00,3,3,3.21,7.87
480.00,540.00,720.00,6.15,d_rp1_entry_7,5.00,12,12,16.25,6.50
540.00,600.00,60.00,7.09,d_rp1_entry_1,5.00,1,2,68.83,7.09
540.00,600.00,1260.00,7.80,d_rp1_entry_2,5.00,21,21,22.43,7.86
540.00,600.00,0.00,-1.00,d_rp1_entry_3,-1.00,0,0,0.00,-1.00
540.00,600.00,300.00,6.76,d_rp1_entry_4,5.00,5,5,6.16,7.89
540.00,600.00,180.00,9.40,d_rp1_entry_5,5.00,3,3,2.66,9.42
540.00,600.00,480.00,3.19,d_rp1_entry_6,5.00,8,8,20.92,5.11
540.00,600.00,300.00,1.75,d_rp1_entry_7,5.00,5,5,23.77,4.71
600.00,660.00,120.00,0.11,d_rp1_entry_1,5.00,2,2,92.74,0.12
600.00,660.00,960.00,6.39,d_rp1_entry_2,5.13,16,16,21.30,7.27
600.00,660.00,0.00,-1.00,d_rp1_entry_3,-1.00,0,0,0.00,-1.00
